Cd mon;Mon dest;Fecha efectiva;Tipo cambio
EUR;COP;10/08/2023;4442,27355
EUR;COP;09/08/2023;4477,37984
EUR;COP;08/08/2023;4463,87323
EUR;COP;07/08/2023;4487,11726
EUR;COP;06/08/2023;4495,06917
EUR;COP;05/08/2023;4495,06917
EUR;COP;04/08/2023;4568,80201
EUR;COP;03/08/2023;4435,30431
EUR;COP;02/08/2023;4378,92968
EUR;COP;01/08/2023;4280,33611
EUR;COP;31/07/2023;4325,84389
EUR;COP;30/07/2023;4329,76738
EUR;COP;29/07/2023;4329,76738
EUR;COP;28/07/2023;4339,20274
EUR;COP;27/07/2023;4342,85156
EUR;COP;26/07/2023;4402,17751
EUR;COP;25/07/2023;4363,21808
EUR;COP;24/07/2023;4400,28904
EUR;COP;23/07/2023;4413,59316
EUR;COP;22/07/2023;4413,59316
EUR;COP;21/07/2023;4423,39527
EUR;COP;20/07/2023;4436,92795
EUR;COP;19/07/2023;4466,49596
EUR;COP;18/07/2023;4572,57007
EUR;COP;17/07/2023;4593,30622
EUR;COP;16/07/2023;4597,39552
EUR;COP;15/07/2023;4597,39552
EUR;COP;14/07/2023;4611,81965
EUR;COP;13/07/2023;4621,83963
EUR;COP;12/07/2023;4663,69143
EUR;COP;11/07/2023;4565,51964
EUR;COP;10/07/2023;4599,10959
EUR;COP;09/07/2023;4587,7967
EUR;COP;08/07/2023;4587,7967
EUR;COP;07/07/2023;4594,96294
EUR;COP;06/07/2023;4486,19094
EUR;COP;05/07/2023;4542,70049
EUR;COP;04/07/2023;4554,39771
EUR;COP;03/07/2023;4556,27762
EUR;COP;02/07/2023;4557,73978
EUR;COP;01/07/2023;4557,73978
EUR;COP;30/06/2023;4572,68648
EUR;COP;29/06/2023;4540,06896
EUR;COP;28/06/2023;4527,03369
EUR;COP;27/06/2023;4568,70135
EUR;COP;26/06/2023;4547,83119
EUR;COP;25/06/2023;4536,78366
EUR;COP;24/06/2023;4536,78366
EUR;COP;23/06/2023;4478,10207
EUR;COP;22/06/2023;4557,19024
EUR;COP;21/06/2023;4545,42669
EUR;COP;20/06/2023;4519,66394
EUR;COP;19/06/2023;4528,99181
EUR;COP;18/06/2023;4529,40638
EUR;COP;17/06/2023;4529,40638
EUR;COP;16/06/2023;4550,09928
EUR;COP;15/06/2023;4563,54937
EUR;COP;14/06/2023;4544,01933
EUR;COP;13/06/2023;4508,59621
EUR;COP;12/06/2023;4486,26713
EUR;COP;11/06/2023;4490,02342
EUR;COP;10/06/2023;4490,02342
EUR;COP;09/06/2023;4496,40448
EUR;COP;08/06/2023;4533,45423
EUR;COP;07/06/2023;4545,33375
EUR;COP;06/06/2023;4604,41973
EUR;COP;05/06/2023;4665,71517
EUR;COP;04/06/2023;4671,81329
EUR;COP;03/06/2023;4671,81329
EUR;COP;02/06/2023;4730,47104
EUR;COP;01/06/2023;4758,44368
EUR;COP;31/05/2023;4700,06176
EUR;COP;30/05/2023;4786,24576
EUR;COP;29/05/2023;4778,43786
EUR;COP;28/05/2023;4776,43011
EUR;COP;27/05/2023;4776,43011
EUR;COP;26/05/2023;4786,24705
EUR;COP;25/05/2023;4773,03455
EUR;COP;24/05/2023;4845,07301
EUR;COP;23/05/2023;4881,22695
EUR;COP;22/05/2023;4890,51073
EUR;COP;21/05/2023;4885,07632
EUR;COP;20/05/2023;4885,07632
EUR;COP;19/05/2023;4877,49306
EUR;COP;18/05/2023;4876,07344
EUR;COP;17/05/2023;4903,39613
EUR;COP;16/05/2023;4896,97735
EUR;COP;15/05/2023;4959,49228
EUR;COP;14/05/2023;4958,12295
EUR;COP;13/05/2023;4958,12295
EUR;COP;12/05/2023;4997,99918
EUR;COP;11/05/2023;4962,6568
EUR;COP;10/05/2023;4981,66104
EUR;COP;09/05/2023;4919,65491
EUR;COP;08/05/2023;5014,18958
EUR;COP;07/05/2023;5010,77516
EUR;COP;06/05/2023;5010,77516
EUR;COP;05/05/2023;5081,23877
EUR;COP;04/05/2023;5134,03235
EUR;COP;03/05/2023;5209,36732
EUR;COP;02/05/2023;5126,562
EUR;COP;01/05/2023;5126,79545
EUR;COP;30/04/2023;5154,576
EUR;COP;29/04/2023;5154,576
EUR;COP;28/04/2023;5138,17056
EUR;COP;27/04/2023;5012,62921
EUR;COP;26/04/2023;4954,77671
EUR;COP;25/04/2023;4920,60948
EUR;COP;24/04/2023;4989,34873
EUR;COP;23/04/2023;4964,01635
EUR;COP;22/04/2023;4964,01635
EUR;COP;21/04/2023;4977,33818
EUR;COP;20/04/2023;4975,92827
EUR;COP;19/04/2023;4901,81375
EUR;COP;18/04/2023;4858,64178
EUR;COP;17/04/2023;4830,62473
EUR;COP;16/04/2023;4871,11595
EUR;COP;15/04/2023;4871,11595
EUR;COP;14/04/2023;4869,74001
EUR;COP;13/04/2023;4925,93663
EUR;COP;12/04/2023;4958,27329
EUR;COP;11/04/2023;4980,7269
EUR;COP;10/04/2023;4954,63789
EUR;COP;09/04/2023;4993,03353
EUR;COP;08/04/2023;4993,03353
EUR;COP;07/04/2023;4993,03353
EUR;COP;06/04/2023;4993,03353
EUR;COP;05/04/2023;5005,4433
EUR;COP;04/04/2023;5049,26085
EUR;COP;03/04/2023;5058,8842
EUR;COP;02/04/2023;5047,73361
EUR;COP;01/04/2023;5047,73361
EUR;COP;31/03/2023;5027,29749
EUR;COP;30/03/2023;5050,13261
EUR;COP;29/03/2023;5045,93544
EUR;COP;28/03/2023;5077,47728
EUR;COP;27/03/2023;5112,32854
EUR;COP;26/03/2023;5103,3192
EUR;COP;25/03/2023;5103,3192
EUR;COP;24/03/2023;5117,6979
EUR;COP;23/03/2023;5201,16201
EUR;COP;22/03/2023;5184,54955
EUR;COP;21/03/2023;5195,95846
EUR;COP;20/03/2023;5172,31963
EUR;COP;19/03/2023;5135,65533
EUR;COP;18/03/2023;5135,65533
EUR;COP;17/03/2023;5180,63257
EUR;COP;16/03/2023;5135,55339
EUR;COP;15/03/2023;4989,1708
EUR;COP;14/03/2023;5114,85213
EUR;COP;13/03/2023;5095,94125
EUR;COP;12/03/2023;5074,57462
EUR;COP;11/03/2023;5074,57462
EUR;COP;10/03/2023;5075,07693
EUR;COP;09/03/2023;5026,18307
EUR;COP;08/03/2023;5007,10848
EUR;COP;07/03/2023;5011,62029
EUR;COP;06/03/2023;5105,51243
EUR;COP;05/03/2023;5066,54817
EUR;COP;04/03/2023;5066,54817
EUR;COP;03/03/2023;5145,96584
EUR;COP;02/03/2023;5144,79801
EUR;COP;01/03/2023;5137,37
EUR;COP;28/02/2023;5099,03247
EUR;COP;27/02/2023;5142,08389
EUR;COP;26/02/2023;5112,25854
EUR;COP;25/02/2023;5112,25854
EUR;COP;24/02/2023;5116,73868
EUR;COP;23/02/2023;5218,68088
EUR;COP;22/02/2023;5261,21072
EUR;COP;21/02/2023;5255,14954
EUR;COP;20/02/2023;5257,11712
EUR;COP;19/02/2023;5245,31166
EUR;COP;18/02/2023;5245,31166
EUR;COP;17/02/2023;5295,84599
EUR;COP;16/02/2023;5206,54555
EUR;COP;15/02/2023;5106,58702
EUR;COP;14/02/2023;5164,83784
EUR;COP;13/02/2023;5121,48767
EUR;COP;12/02/2023;5100,94
EUR;COP;11/02/2023;5100,94
EUR;COP;10/02/2023;5062,84968
EUR;COP;09/02/2023;5133,31257
EUR;COP;08/02/2023;5122,01047
EUR;COP;07/02/2023;5107,00531
EUR;COP;06/02/2023;5011,33148
EUR;COP;05/02/2023;5070,17
EUR;COP;04/02/2023;5070,1702
EUR;COP;03/02/2023;4977,55573
EUR;COP;02/02/2023;5075,34
EUR;COP;01/02/2023;5077,0777
EUR;COP;31/01/2023;5030,80081
EUR;COP;30/01/2023;4944,44
EUR;COP;29/01/2023;4930,80142
EUR;COP;28/01/2023;4930,80142
EUR;COP;27/01/2023;4926,53291
EUR;COP;25/01/2023;4956,21108
EUR;COP;24/01/2023;4949,4618
EUR;COP;23/01/2023;5032,27686
EUR;COP;22/01/2023;5016,52928
EUR;COP;21/01/2023;5016,52928
EUR;COP;20/01/2023;5073,07793
EUR;COP;19/01/2023;5073,94579
EUR;COP;18/01/2023;5081,15413
EUR;COP;17/01/2023;5070,21329
EUR;COP;16/01/2023;5081,47887
EUR;COP;15/01/2023;5083,35647
